campaign_id,campaign_date,campaign_name,channel,customers_contacted,responses,response_rate,avg_contacts_per_customer,high_fatigue_pct,campaign_budget,cost_per_response,campaign_status
CMP-001,2026-01-15,November Cross-sell,Relationship,3724,332,0.0892,5.2,0.341,5862,17.66,Completed
CMP-002,2026-01-17,August Premium Offer,Email,1957,184,0.094,2.2,0.1233,3544,19.26,Completed
CMP-003,2026-01-19,September Re-engagement,Relationship,3027,271,0.0895,3.4,0.1715,4421,16.31,Active
CMP-004,2026-01-21,November Cross-sell,Relationship,1983,110,0.0555,3.8,0.1795,4017,36.52,Completed
CMP-005,2026-01-23,July Retention Campaign,Digital,3760,222,0.059,4.7,0.2613,3918,17.65,Completed
CMP-006,2026-01-25,December Relationship Campaign,Relationship,452,48,0.1062,1.3,0.0789,915,19.06,Completed
CMP-007,2026-01-27,September Re-engagement,Phone,3505,208,0.0593,5.8,0.3009,5195,24.98,Completed
CMP-008,2026-01-29,September Re-engagement,Phone,4468,460,0.103,3.3,0.2061,10550,22.93,Completed
CMP-009,2026-02-01,November Cross-sell,Phone,4746,607,0.1279,2.4,0.0626,7968,13.13,Completed
CMP-010,2026-02-03,June Deposit Campaign,Phone,1016,74,0.0728,5.3,0.3425,2590,35.0,Completed
CMP-011,2026-02-05,July Retention Campaign,Digital,4639,362,0.078,4.6,0.2708,8553,23.63,Completed
CMP-012,2026-02-07,November Cross-sell,Phone,2577,166,0.0644,5.6,0.3571,2900,17.47,Active
CMP-013,2026-02-09,July Retention Campaign,Email,3181,331,0.1041,2.7,0.1207,7194,21.73,Completed
CMP-014,2026-02-11,July Retention Campaign,Phone,447,42,0.094,3.7,0.2129,606,14.43,Completed
CMP-015,2026-02-13,December Relationship Campaign,Phone,2180,211,0.0968,3.8,0.2032,2966,14.06,Completed
CMP-016,2026-02-16,September Re-engagement,Digital,3832,334,0.0872,5.7,0.3436,2914,8.72,Completed
CMP-017,2026-02-18,August Premium Offer,Phone,858,83,0.0967,1.5,0.0576,1495,18.01,Completed
CMP-018,2026-02-20,December Relationship Campaign,Email,3522,275,0.0781,2.5,0.1556,6042,21.97,Completed
CMP-019,2026-02-22,December Relationship Campaign,Phone,1397,141,0.1009,2.0,0.0892,1923,13.64,Completed
CMP-020,2026-02-24,July Retention Campaign,Relationship,4532,559,0.1233,2.4,0.1152,10872,19.45,Completed
CMP-021,2026-02-26,October Growth Campaign,Email,3647,318,0.0872,3.4,0.1631,3445,10.83,Completed
CMP-022,2026-02-28,September Re-engagement,Phone,2761,309,0.1119,2.9,0.1416,3664,11.86,Completed
CMP-023,2026-03-03,June Deposit Campaign,Phone,2044,165,0.0807,3.0,0.1303,2680,16.24,Completed
CMP-024,2026-03-05,December Relationship Campaign,Email,909,38,0.0418,5.1,0.3002,796,20.95,Completed
CMP-025,2026-03-07,August Premium Offer,Email,3061,132,0.0431,5.5,0.3123,4941,37.43,Completed
CMP-026,2026-03-09,October Growth Campaign,Email,1619,97,0.0599,1.4,0.1197,3249,33.49,Completed
CMP-027,2026-03-11,October Growth Campaign,Email,2236,190,0.085,2.1,0.0686,3739,19.68,Completed
CMP-028,2026-03-13,June Deposit Campaign,Phone,396,28,0.0707,4.3,0.2306,395,14.11,Completed
